Business ID;Name;Company form;Home municipality;Line of business
0109023-9;Equinix (Finland) Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0115061-7;PostNord Strålfors Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0123859-8;Cloud City Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0195876-3;Oy IBM Finland Ab;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0362382-8;Tarpoma Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0595613-2;Lentävä lause Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0616582-6;Arcadic viihdetuotanto Oy;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
0635202-3;Tietokeino Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0777805-0;Oy Bitti Ab;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
0792060-0;Suomen Numeropalvelu Oy - Finlands Nummertjänst Ab;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0797512-6;Maxlevel Oy;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
0821050-4;Enternet Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0858808-0;STK-Tietopalvelut Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0859912-6;Open Text Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0875145-8;Johtotieto Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0968176-2;Sumoface Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0978121-0;EDH Espoo Domain Hosting Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
0984182-6;SecuryCast Oy;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
1008465-8;Tietotalo Infocenter Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1018121-2;Pentti Ylä-Liedenpohja Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1050205-5;General Media Carnac Oy;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
1052839-4;Firmus Data Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1092808-0;Primanet Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1097574-1;Hot Spring Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1109595-7;Mediam Group Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1109694-1;Suomen Pakkauskierrätys RINKI Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1482525-7;AT&T Global Network Services Finland Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1524892-2;WWW Laki FI-Internet Palvelut Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1536858-8;WD Network Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1559208-8;Diginord Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1591158-7;Asema Consulting Oy;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
1593841-3;Comsix Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1607767-8;Domainkeskus Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1646321-0;ePress Nordic Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1650666-3;D-Fence Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1660817-6;Banjo Partners Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1708055-3;Mfabrik Production Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1710721-8;Cupid Online Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1715605-2;Chromic Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1731603-6;SSF Spraying Systems Finland Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1741431-4;Mediareaktori Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1854051-5;Arek Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1854458-3;Sport Content OY;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1866966-9;HelppoIT Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1898267-1;Noisy Stream Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1906872-6;BEL Solutions Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1923541-6;ALSO Cloud Oy;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
1946409-1;Louhi Net Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
1952633-6;4 Family Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
2011472-6;Suomen Juttele Oy;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
2015929-7;Apollon Verkkopalvelut Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
2023589-4;Me Power Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
2041575-6;PrimeWeb Oy Ab;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
2042717-5;FILECOM OY;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
2049242-8;Prokidea Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
2076101-8;Unihost Oy;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
2107782-4;INT2000 Oy;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
2108938-2;Kalamiescom Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
2110789-4;City Digital Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
2113363-8;VITIUM OY;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
2146438-1;Fioni Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
2154764-6;Emilda Oy;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
2179390-0;InfoCult Oy;Limited company;ESPOO;Computing infrastructure, data processing, hosting and related activities
2181586-6;Kokumi Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
2184149-0;Cinea Aesthetics Oy;Limited company;HELSINKI;Computing infrastructure, data processing, hosting and related activities
